provider_type_setting_id,provider_type_code,related_entity_type,related_entity_code,relationship_type
"103","01","StateType","MN","LS"
"202","02","StateType","MN","LS"
"302","03","StateType","MN","LS"
"303","03","SpecialtyType","S1","SO"
"304","03","IssuingBoard","B1","SB"
"402","04","StateType","MN","LS"
"502","05","StateType","MN","LS"
"503","05","SpecialtyType","S2","SO"
"504","05","IssuingBoard","B2","SB"
"602","06","StateType","MN","LS"
"702","07","StateType","MN","LS"
"703","07","SpecialtyType","S3","SO"
"704","07","IssuingBoard","B3","SB"
"705","07","SpecialtyType","C1","SO"
"706","07","SpecialtyType","C2","SO"
"707","07","SpecialtyType","C3","SO"
"708","07","SpecialtyType","C4","SO"
"709","07","SpecialtyType","C5","SO"
"802","08","StateType","MN","LS"
"902","09","StateType","MN","LS"
"1002","10","StateType","MN","LS"
"1102","11","StateType","MN","LS"
"1202","12","StateType","MN","LS"
"1203","12","SpecialtyType","S3","SO"
"1204","12","IssuingBoard","B3","SB"
"1302","13","StateType","MN","LS"
"1303","13","SpecialtyType","S3","SO"
"1304","13","SpecialtyType","S4","SO"
"1305","13","SpecialtyType","S5","SO"
"1306","13","SpecialtyType","S6","SO"
"1307","13","IssuingBoard","B4","SB"
"1402","14","StateType","MN","LS"
"1502","15","StateType","MN","LS"
"1602","16","StateType","MN","LS"
"1702","17","StateType","MN","LS"
"1802","18","StateType","MN","LS"
"1902","19","StateType","MN","LS"
"2002","20","StateType","MN","LS"
"2102","21","StateType","MN","LS"
"2103","21","SpecialtyType","D1","SO"
"2104","21","SpecialtyType","D2","SO"
"2105","21","SpecialtyType","D3","SO"
"2106","21","SpecialtyType","D4","SO"
"2107","21","SpecialtyType","D5","SO"
"2108","21","SpecialtyType","D6","SO"
"2109","21","IssuingBoard","B5","SB"
"2110","21","IssuingBoard","C1","SB"
"2202","22","StateType","MN","LS"
"2302","23","StateType","MN","LS"
"2402","24","StateType","MN","LS"
"2403","24","SpecialtyType","S3","SO"
"2404","24","IssuingBoard","B3","SB"
"2502","25","StateType","MN","LS"
"2503","25","SpecialtyType","S9","SO"
"2504","25","IssuingBoard","B8","SB"
"2602","26","StateType","MN","LS"
"2702","27","StateType","MN","LS"
"2703","27","SpecialtyType","P1","SO"
"2802","28","StateType","MN","LS"
"2803","28","IssuingBoard","B6","SB"
"2804","28","IssuingBoard","B7","SB"
"2805","28","SpecialtyType","01","SO"
"2806","28","SpecialtyType","02","SO"
"2807","28","SpecialtyType","03","SO"
"2808","28","SpecialtyType","04","SO"
"2809","28","SpecialtyType","05","SO"
"2810","28","SpecialtyType","06","SO"
"2811","28","SpecialtyType","07","SO"
"2812","28","SpecialtyType","08","SO"
"2813","28","SpecialtyType","09","SO"
"2814","28","SpecialtyType","10","SO"
"2815","28","SpecialtyType","11","SO"
"2816","28","SpecialtyType","12","SO"
"2817","28","SpecialtyType","13","SO"
"2818","28","SpecialtyType","14","SO"
"2819","28","SpecialtyType","15","SO"
"2820","28","SpecialtyType","16","SO"
"2821","28","SpecialtyType","17","SO"
"2822","28","SpecialtyType","18","SO"
"2823","28","SpecialtyType","19","SO"
"2824","28","SpecialtyType","20","SO"
"2825","28","SpecialtyType","21","SO"
"2826","28","SpecialtyType","22","SO"
"2827","28","SpecialtyType","23","SO"
"2828","28","SpecialtyType","24","SO"
"2829","28","SpecialtyType","25","SO"
"2830","28","SpecialtyType","26","SO"
"2831","28","SpecialtyType","27","SO"
"2832","28","SpecialtyType","28","SO"
"2833","28","SpecialtyType","29","SO"
"2834","28","SpecialtyType","30","SO"
"2835","28","SpecialtyType","31","SO"
"2836","28","SpecialtyType","32","SO"
"2837","28","SpecialtyType","33","SO"
"2838","28","SpecialtyType","34","SO"
"2839","28","SpecialtyType","35","SO"
"2840","28","SpecialtyType","36","SO"
"2841","28","SpecialtyType","37","SO"
"2842","28","SpecialtyType","38","SO"
"2843","28","SpecialtyType","39","SO"
"2844","28","SpecialtyType","49","SO"
"2845","28","SpecialtyType","50","SO"
"9901","04","BeneficialOwnerType","04","BT"
"9902","04","BeneficialOwnerType","02","BT"
"9903","04","BeneficialOwnerType","01","BT"
"9904","01","BeneficialOwnerType","03","BT"
"9905","01","BeneficialOwnerType","02","BT"
"9906","01","BeneficialOwnerType","01","BT"
"9907","05","BeneficialOwnerType","04","BT"
"9908","05","BeneficialOwnerType","03","BT"
"9909","05","BeneficialOwnerType","02","BT"
"9910","05","BeneficialOwnerType","01","BT"
"9911","03","BeneficialOwnerType","03","BT"
"9912","03","BeneficialOwnerType","02","BT"
"9913","03","BeneficialOwnerType","01","BT"
"9914","02","BeneficialOwnerType","03","BT"
"9915","02","BeneficialOwnerType","02","BT"
"9916","02","BeneficialOwnerType","01","BT"
"9917","06","BeneficialOwnerType","02","BT"
"9918","06","BeneficialOwnerType","01","BT"
"9919","07","BeneficialOwnerType","01","BT"
"9920","07","BeneficialOwnerType","05","BT"
"9921","07","BeneficialOwnerType","06","BT"
"14001","12","SpecialtyType","41","SO"
"14002","12","SpecialtyType","42","SO"
"14003","12","SpecialtyType","43","SO"
"14004","12","SpecialtyType","44","SO"
"14005","12","SpecialtyType","45","SO"
"14006","12","SpecialtyType","46","SO"
"14007","12","SpecialtyType","47","SO"
"14008","12","SpecialtyType","48","SO"
"100001","41","LicenseType","L4","QL"
"100002","41","LicenseType","N2","QL"
"100003","41","LicenseType","M2","QL"
"100004","41","LicenseType","M4","QL"
"100006","41","LicenseType","H1","QL"
"100007","41","LicenseType","H2","QL"
