Requirement ID Number,Requirement Category,Requirement Statement,Priority,Rank,Source,Source Document,Release,Design Reference,Acceptance Test Reference,Comment
,1.  Technical Service Classification:  Business Intelligence,,,,,,,,,
psm-AD-1.1,,The PSM shall support a range of analysis actions. ,,,TA.BI.2,,Post R1,,,
psm-AD-1.2,,"The PSM shall collect and summarize data for specific user communities (e.g. data marts or cubes) such as program analysis staff, research group, financial management unit, agency executives (e.g. dashboard).",,,TA.BI.4,,Post R1,,,
psm-AD-1.3,,The PSM shall provide reports that allow users to drill down from summarized data to detailed data.,,,TA.BI.5,,Release 1,,,
psm-AD-1.4,,The PSM shall limit access to authorized group of stakeholders.,,,TA.BI.9,,Alpha,,,
,2.  Technical Service Classification:  Client Support,,,,,,,,,
psm-AD-2.1,,The PSM shall provide a user interface or associated interfaces text titles for frames to facilitate frame identification and navigation.,,,TA.CS.10,,Release 1,,,
psm-AD-2.2,,"The PSM shall provide member and provider access to services via browser, kiosk, voice response solution, or mobile device, and manual submissions.",1,Low,TA.CS.14,,MVP - Sept,,,
psm-AD-2.3,,"The PSM shall conform to usability and design standards set by the state. This includes aesthetics, consistency in the user interface, and visual quality of the interfaces.",,,TA.CS.17,,,,,N/A
psm-AD-2.4,,The PSM shall fully comply with section 508 accessibility.,,,TA.CS.18,,Release 1,,,
psm-AD-2.5,,"To the greatest extent possible, the PSM shall be browser agnostic. ",,,TA.CS.6,,MVP - Dec,,,
,3.  Technical Service Classification:  Forms and Reporting,,,,,,,,,
psm-AD-3.1,,"The PSM shall support retrieval and presentation of data associated with geographic indicators such as state, county, and zip code.",,,TA.FR.1,,Post R1,,,
psm-AD-3.2,,The PSM shall support federal reporting requirements when these requirements are met through the decision support services (DSS).,,,TA.FR.2,,Post R1,,,
psm-AD-3.3,,"The PSM shall support a variety of formats and output options (e.g. Word, Excel, html, Access database, or GUI formats).",,,TA.FR.4,,Post R1,,,
psm-AD-3.4,,"The PSM shall support simple queries and pre-formatted reports that are easy to access, follow a user-friendly protocol, and produce responses immediately.",,,TA.FR.6,,Release 1,,,
psm-AD-3.5,,The PSM shall provide ad hoc reporting capability that presents summarized information on key factors to executive staff upon request.,,,TA.FR.7,,Post R1,,,
psm-AD-3.6,,The PSM shall provide ad hoc query capability for retrieval of data relevant to specific operational units.,,,TA.FR.8,,Post R1,,,
,4.  Technical Service Classification:  Performance Measurement,,,,,,,,,
psm-AD-4.1,,The PSM shall provide the ability to record and monitor the performance and utilization of resources within the overall system.,,,TA.PM.7,,Release 1,,,
psm-AD-4.2,,The PSM shall generate performance measures for specific business processes using predefined and ad hoc reporting methods.,,,TA.PM.8,,Release 1,,,
,5.  Technical Service Classification:  Security and Privacy,,,,,,,,,
psm-AD-5.1,,"The PSM shall follow regulations govern the safeguard of information about applicants and beneficiaries.  The following is the minimal set of information that must be safeguarded:
(1) Name and addresses;
(2) Social and economic conditions or circumstances:
(3) Agency evaluation of personal information;
(4) Any information received for verifying income;
",,,TA.SP.15,,Alpha,,,
psm-AD-5.2,,"The PSM shall verify the identity of all users, denies access to invalid users. For example:
•  Requires unique sign-on (ID and password)
•  Requires authentication of the receiving entity prior to a system initiated session, such as transmitting responses to eligibility inquiries.",1,High ,TA.SP.22,,MVP - Sept,,,
psm-AD-5.3,,"The PSM shall enforce password policies for length, character requirements, and updates.",,,TA.SP.24,,Release 1,,,
psm-AD-5.4,,The PSM shall support a user security profile that controls user access rights to data categories and system functions.,,,TA.SP.25,,MVP - Dec,,,
psm-AD-5.5,,The PSM shall permit supervisors or other designated officials to set and modify user security access profile.,,,TA.SP.26,,Post R1,,,
psm-AD-5.6,,"The PSM shall alert appropriate staff authorities of potential violations of privacy safeguards, such as inappropriate access to confidential information.",,,TA.SP.30,,Post R1,,,
psm-AD-5.7,,The PSM of shall contain verification mechanisms that are capable of authenticating authority (as well as identify) for the use or disclosure requested. ,,,TA.SP.32,,,,,N/A
psm-AD-5.8,,The PSM shall provide the capability that all system activity can be traced to a specific user or entity.,,,TA.SP.37,,Beta,,,
psm-AD-5.9,,"The PSM shall log system activity and enable analysts to examine system activity in accordance with audit policies and procedures (error diagnosis, and performance management) adopted by the Medicaid agency.",,,TA.SP.39,,Beta,,,
psm-AD-5.10,,The PSM shall have the capability to provision access to an authorized user or request.,1,Low,TA.SP.42,,MVP - Sept,,,
psm-AD-5.11,,"The PSM shall  have standard Access Control specifications to include:
(i) Assigning a unique name and/or number for identifying and tracking user identity. (Required)
(iii) Implementing electronic procedures that terminate an electronic session after a predetermined time of inactivity. (Addressable)
",,,TA.SP.5,,MVP - Dec,,,
psm-AD-5.12,,The PSM shall support roles and responsibilities of individuals that are separated through assigned information access authorization as necessary to prevent malevolent activity.,,,TA.SP.50,,MVP - Dec,,,
psm-AD-5.13,,User account access authorization should follow the concept of least privilege; allowing users access to only the information that is necessary to accomplish assigned tasks in accordance with business functions.,,,TA.SP.51,,Alpha,,,
psm-AD-5.14,,The PSM shall support the state policy to disable account due to invalid login attempts.,,,TA.SP.52,,Release 1,,,
psm-AD-5.15,,"After 15 minutes of inactivity, the PSM shall initiate a session lock; the session lock should remain in place until the user reestablishes access using established identification and authentication procedures.",,,TA.SP.54,,MVP - Dec,,,
psm-AD-5.16,,"The PSM shall enforce a sufficient level of authentication / identification against fraudulent transmission and imitative communications deceptions by validating the transmission, message, station or individual.",2,Medium,TA.SP.70,,MVP - Sept,,,
psm-AD-5.17,,The PSM shall use only FIPS Pub 140-2-approved (or higher) encryption algorithms.,,,TA.SP.74,,MVP - Dec,,,
psm-AD-5.18,,"The PSM shall be secure from unauthorized access or use, and shall sanitize inputs and outputs where possible so as to avoid compromising itself or other systems.",,,SGC 2018-03-05,,Release 1,,,
