Requirement ID Number,Requirement Category,Requirement Statement,Priority,Rank,Source,Source Document,Release,Design Reference,Acceptance Test Reference,Comment
,1.  Capability to conduct identity verification,,,,,,,,,
psm-FR-1.1,,The PSM shall accept a form that shows a tax ID number and legal name for each provider (ex forms: CP 575 or 147C letter; 941 Employers' Quarterly Federal Tax Return; 8109 Tax Coupon; or letter from IRS with the Federal Tax Identification Number and legal name).,,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Alpha,,,"Does this include how the provider is legally organized and structured?   Does this include info regarding whether the provider is private vs non-profit, a public entity, state government agency?  Yes. data field entity type under ownership tab, user can specify all these provider business types."
psm-FR-1.2,,The PSM shall ensure that tax ID number is 9 digits,1,Low,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,
psm-FR-1.3,,The PSM shall screen providers for managed care plans.,,,LA,PSM State Calls Requirements_functionality needs.xlsx,Alpha,,,Is this based on Final Managed Care Rules and 21st Century Cures Act?  Need to check with LA to verify this is the same requirement
psm-FR-1.4,,The PSM shall have the capability to identify providers by Employer identification number unless the provider is in solo practice or the provider is not in solo practice but billing is by the individual practitioner in which case the PSM shall have the capability to identify providers by social security number.,1,High ,"Pre-certification
PM.PR3.1",pre-certification-requirements.md,MVP - Dec,,,
psm-FR-1.5,,The PSM shall have the capability to escalate the intensity of screening for providers that are flagged as higher risk.,,,MN,Original PSC Master Evaluation Matrix,Alpha,,,
psm-FR-1.6,,The PSM shall collect and store standardized W-9 information that reflects the owner of the EIN and the Doing Business As (DBA) name.  ,1,Low,MT,PMNT14,MVP - Sept,,,
,2.  Capability to build provider profile,,,,,,,,,
psm-FR-2.1,,The PSM shall have the option of zipcode + 4 for all address fields,2,Low,LA,email from Jacques Kado on 7/11,MVP - Sept,,,
psm-FR-2.2,,The PSM shall allow multiple locations for the provider.,1,High ,LA,email from Jacques Kado on 7/11,MVP - Dec,,,
psm-FR-2.3,,"The PSM shall associate multiple Medicare IDs with the same provider, if the provider has multiple locations.",,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Beta,,,
psm-FR-2.4,,The PSM shall allow applicant to upload attachments to support the application.,2,Medium,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,
psm-FR-2.5,,The PSM shall indicate what kinds of documents/attachments are required by provider type.,3,Medium,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,
psm-FR-2.6,,"The PSM shall require the following fields: Provider Name, Business Phone, Provider Street Address, City, State, Zip Code, County, SSN, Date of Birth, License Number, IRS Payee Name, DBA Name, Payee Address, Payee City, Payee State, Payee Zip Code, Payee Tax ID, Provider Email address",1,Low,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,Will the PSM identify whether the provider is a rendering (eligible to directly bill) or an ordering/referring/prescribing (eligible to enroll but not directly bill state Medicaid agency)?  Not currently plan for PSM functionality
psm-FR-2.7,,"The PSM shall accept the following fields: Practice Type, Specialties (1 or more), NPI, HIPAA Taxonomy Codes, CLIA number, DHSS certification, Optical and Audiology y/n, Collaborative Practice Agreement y/n, RHC y/n, Medicare Provider Number, Case Mgmt y/n, Rural Health Rate",,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Beta,,,
psm-FR-2.8,,"The PSM shall require the following fields: Contact email, Merger y/n, Owner/board names and addresses, Care settings, DEA controlled substances certification y/n, DEA revocation y/n",,,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,Beta,,,Dos this include SSN for owners and others with >5% ownership? Yes!
psm-FR-2.9,,"The PSM shall accept the following fields: Applicant Name, Contact Person, Contact phone, Medicaid number",4,Low,MO,MISSOURI MEDICAID PROVIDER ENROLLMENT INFORMATION GUIDE.docx,MVP - Sept,,,"To clarify: Applicant is person completing the application, not necessarily provider.  Correct!  Will contact person info differentiate between  contact for billing vs practice locations.  Yes, under Alternative Mailing Addresses."
psm-FR-2.10,,The PSM shall notify managed care plans when a provider becomes eligible (has been screened) and/or allow a managed care plan to check a provider's eligibility.,,,LA,PSM State Calls Requirements_functionality needs.xlsx,Alpha,,,
psm-FR-2.11,,The PSM shall detect and ask specific questions of bordering-state providers.,,,WV,PSM State Calls Requirements_functionality needs.xlsx,Alpha,,,
psm-FR-2.12,,"The PSM shall share NPI between individual providers, for group practices.",,,OH,PSM State Calls Requirements_functionality needs.xlsx,Alpha,,,
psm-FR-2.13,,"The PSM shall limit enrollment to providers in the following categories: (1) in-state, (2) out-of-state in-network, (3) within a defined ""border"" region of neighboring states.",,,VT/WV,VTMedicaidProviderManual.pdf,Alpha,,,
psm-FR-2.14,,"The PSM shall use consistent provider naming conventions to differentiate between first names, last names, and business or corporate names and to allow flexible searches based on the provider name.",,,"Pre-certification
PM.PR1.11",pre-certification-requirements.md,Alpha,,,"Will all individual's names include generation (Jr., III, etc.) Currently we don't have a separate field for generation indication, but could use the last name field."
psm-FR-2.15,,The PSM shall maintain a flag for providers who are eligible to use electronic funds transfer (EFT) and electronic claims submission.,2,Low,"Pre-certification
PM.PR3.10",pre-certification-requirements.md,MVP - Dec,,,"Will PSM allow for provider application fee to be accepted/processed electronically?  Will PSM ask if provider owes state Medicaid agency monies that have not been paid and collect those monies or arrange for repayment at time of enrollment?  No, not currently a PSM function."
psm-FR-2.16,,"The PSM shall accept, validate, and process transactions or user entries to update and maintain provider information.",1,High ,"Pre-certification
PM.PR3.3",pre-certification-requirements.md,Alpha,,,
psm-FR-2.17,,The PSM shall maintain providers’ drug enforcement administration (DEA) numbers.,,,"Pre-certification
PM.PR3.7",pre-certification-requirements.md,Beta,,,
psm-FR-2.18,,The PSM shall have the capability to ensure that providers that have a history of fraud are flagged with a higher risk level at the time of screening,,,MN,Original PSC Master Evaluation Matrix,Release 1,,,
psm-FR-2.19,,"The PSM shall have the capability to capture critical attributes including licensing information, financial data, and any other data attributes which could impact a risk level.",,,MN,Original PSC Master Evaluation Matrix,Release 1,,,
psm-FR-2.20,,"The PSM shall collect and maintain licensure information to include at a minimum, licensing state, license number, licensure begin and end dates.  ",1,Medium,MT,PMNT09,MVP - Sept,,,
,"3.  Enable the SMA to provide accurate, streamlined, automated determination of provider eligibility, appeal and revalidation",,,,,,,,,
psm-FR-3.1,,The PSM shall provide a rejection reason if an application is rejected.,,,LA,email from Jacques Kado on 7/11,Alpha,,,
psm-FR-3.2,,The PSM shall have the capability to create a high-risk list to ensure that providers that are suspected or known to be fraudulent are flagged at the time of screening.,,,"Pre-certification
PM.PR3.7",pre-certification-requirements.md,Beta,,,
psm-FR-3.3,,The PSM shall flag and route records for action if multiple internal state assigned provider numbers are associated with a single provider.,,,"Pre-certification
PM.PR1.4",pre-certification-requirements.md,Post R1,,,
psm-FR-3.4,,"The PSM shall separate providers into risk categories limited, moderate, and high based on provider type, as established by CMS.",2,Medium,VT,GrnMtnCareEnrollInst.pdf,MVP - Sept,,,
psm-FR-3.5,,"The PSM shall screen limited-risk providers by verifying that the provider or supplier meets all applicable federal regulations and state requirements for the provider or supplier type, conducting license verifications, including licensure verifications across state lines for physicians, non-physician practitioners, providers and suppliers, and conducting database checks on a pre-and post-enrollment basis to ensure that providers and suppliers continue to meet the enrollment criteria for their provider/supplier type.",,,VT,GrnMtnCareEnrollInst.pdf,Release 1,,,
psm-FR-3.6,,The PSM shall conduct a fingerprint-based criminal background check for high-risk provider types.,,,VT,GrnMtnCareEnrollInst.pdf,Beta,,,Will process to conduct FCBC include coordination with state's program that is part of National Background Check Program?  Possible but no specific requirement for this external interface currently.  How will result be communicated to State agency's Fiscal Agent? Unknown at this point.  Will be part of the integration with the other components of MMIS.
psm-FR-3.7,,"The PSM shall change a provider's risk level due to: imposition of a payment suspension within the previous 10 years; termination from billing Medicaid; exclusion by the OIG; revocation of billing privileges by a Medicare contractor within the previous 10 years (and such provider/supplier is attempting to establish additional Medicare billing privileges by enrolling as a new provider or supplier or establish billing privileges for a new practice location); exclusion from any federal health care program; subject to any final adverse action (as defined in 42 CFR 424.502) within the past 10 years; instances in which CMS lifts a temporary moratorium for a particular provider or supplier type and a provider or supplier that was prevented from enrolling based on the moratorium, applies for enrollment as a Medicare provider or supplier at any time within 6 months from the date the moratorium was lifted.",,,VT,GrnMtnCareEnrollInst.pdf,Release 1,,,
psm-FR-3.8,,"The PSM shall compare monitoring statistics (e.g. license expirations that were not caught within a month, total number of sanctions) from one month to the next.",,,MO,Screening and Auditing Notes.docx,Post R1,,,
psm-FR-3.9,,"The PSM shall have the capability to create a learning system to ensure that observed negative trends factor back into  screening rules so as to flag suspicious enrollments early in the screening process, ensuring the ability to detect and reduce/eliminate the incidence of false positives.",,,MN,Original PSC Master Evaluation Matrix,Post R1,,,
psm-FR-3.10,,The PSM shall send letter confirming enrollment.,,,VT,VTMedicaidProviderManual.pdf,Beta,,,"How will this work if the State Medicaid agency has enrollment requirements outside of what is collected/processed via PSM?  What else is required from WV for the PSM?  It is possible for PSM to use workflow to configure outside enrollment - will need additional requirements.  Otherwise, content of the letter could be configurable to indicate what processes are completed."
psm-FR-3.11,,"The PSM shall notify providers 90 days before their enrollment expires, so that they can go through revalidation.",,,VT,VTMedicaidProviderManual.pdf,Alpha,,,
psm-FR-3.12,,The PSM shall automatically reject applications that do not include all mandatory information.,2,Medium,VT,VTMedicaidProviderManual.pdf,MVP - Sept,,,
psm-FR-3.13,,"The PSM shall have the capability to track and support the screening of applications (and ongoing provider updates) for National Provider Identifier (NPIs), State licenses, Specialty Board certification as appropriate, review team visits when necessary, and any other State and/or Federal Requirement.",,,"Pre-certification
PM.PR2.1",pre-certification-requirements.md,Release 1,,,
psm-FR-3.14,,The PSM shall cross-reference license and sanction information with other state or federal agencies.,,,"Pre-certification
PRM2.5",pre-certification-requirements.md,Release 1,,,
psm-FR-3.15,,The PSM shall have the turnaround time for performing automated checks typical for a web based system,1,Low,MN,Original PSC Master Evaluation Matrix,MVP - Sept,,,
psm-FR-3.16,,The PSM shall provide comprehensive verification of all (verifiable) data fields for all providers enrolled,,,MN,Original PSC Master Evaluation Matrix,Release 1,,,
psm-FR-3.17,,The PSM shall improve efficiency of the Screening Solution in terms of cost and schedule to actually implement ,,,MN,Original PSC Master Evaluation Matrix,Release 1,,,
